"","Japanese_Name","Pokedex_Number","Classfication","Generation","Region","Is_Legendary","Type_1","Type_2","Abiity_1","Abiity_2","Abiity_3","Abiity_4","Abiity_5","Abiity_6","Against_Bug","Against_Dark","Against_Dragon","Against_Electric","Against_Fairy","Against_Fight","Against_Fire","Against_Flying","Against_Ghost","Against_Grass","Against_Ground","Against_Ice","Against_Normal","Against_Poison","Against_Psychic","Against_Rock","Against_Steel","Against_Water","Hp","Height_m","Weight_Kg","Attack","Defense","Sp_Attack","Sp_Defense","Speed","Region.1","Base_Egg_Steps","Experience_Growth","Base_Happiness","Base_Total","Capture_Rate"
"Xatu","Natio<U+30CD><U+30A4><U+30C6><U+30A3><U+30AA>",178,"Mystic Pokémon","II","Johto",0,"Psychic","Flying","Synchronize"," Early Bird"," Magic Bounce",NA,NA,NA,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,65,1.5,15,75,70,95,70,95,"Johto",5120,1000000,70,470,"75"
"Mareep","Merriep<U+30E1><U+30EA><U+30FC><U+30D7>",179,"Wool Pokémon","II","Johto",0,"Electric","None","Static"," Plus",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,0.6,7.8,40,40,65,45,35,"Johto",5120,1059860,70,280,"235"
"Flaaffy","Mokoko<U+30E2><U+30B3><U+30B3>",180,"Wool Pokémon","II","Johto",0,"Electric","None","Static"," Plus",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,70,0.8,13.3,55,55,80,60,45,"Johto",5120,1059860,70,365,"120"
"Ampharos","Denryu<U+30C7><U+30F3><U+30EA><U+30E5><U+30A6>",181,"Light Pokémon","II","Johto",0,"Electric","None","Static"," Plus",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,90,1.4,61.5,95,105,165,110,45,"Johto",5120,1059860,70,610,"45"
"Bellossom","Kireihana<U+30AD><U+30EC><U+30A4><U+30CF><U+30CA>",182,"Flower Pokémon","II","Johto",0,"Grass","None","Chlorophyll"," Healer",NA,NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,75,0.4,5.8,80,95,90,100,50,"Johto",5120,1059860,70,490,"45"
"Marill","Maril<U+30DE><U+30EA><U+30EB>",183,"Aquamouse Pokémon","II","Johto",0,"Water","Fairy","Thick Fat"," Huge Power"," Sap Sipper",NA,NA,NA,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,70,0.4,8.5,20,50,20,50,40,"Johto",2560,800000,70,250,"190"
"Azumarill","Marilli<U+30DE><U+30EA><U+30EB><U+30EA>",184,"Aquarabbit Pokémon","II","Johto",0,"Water","Fairy","Thick Fat"," Huge Power"," Sap Sipper",NA,NA,NA,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,100,0.8,28.5,50,80,60,80,50,"Johto",2560,800000,70,420,"75"
"Sudowoodo","Usokkie<U+30A6><U+30BD><U+30C3><U+30AD><U+30FC>",185,"Imitation Pokémon","II","Johto",0,"Rock","None","Sturdy"," Rock Head"," Rattled",NA,NA,NA,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,70,1.2,38,100,115,30,65,30,"Johto",5120,1000000,70,410,"65"
"Politoed","Nyorotono<U+30CB><U+30E7><U+30ED><U+30C8><U+30CE>",186,"Frog Pokémon","II","Johto",0,"Water","None","Water Absorb"," Damp"," Drizzle",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,90,1.1,33.9,75,75,90,100,70,"Johto",5120,1059860,70,500,"45"
"Hoppip","Hanecco<U+30CF><U+30CD><U+30C3><U+30B3>",187,"Cottonweed Pokémon","II","Johto",0,"Grass","Flying","Chlorophyll"," Leaf Guard"," Infiltrator",NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,35,0.4,0.5,35,40,35,55,50,"Johto",5120,1059860,70,250,"255"
"Skiploom","Popocco<U+30DD><U+30DD><U+30C3><U+30B3>",188,"Cottonweed Pokémon","II","Johto",0,"Grass","Flying","Chlorophyll"," Leaf Guard"," Infiltrator",NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,55,0.6,1,45,50,45,65,80,"Johto",5120,1059860,70,340,"120"
"Jumpluff","Watacco<U+30EF><U+30BF><U+30C3><U+30B3>",189,"Cottonweed Pokémon","II","Johto",0,"Grass","Flying","Chlorophyll"," Leaf Guard"," Infiltrator",NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,75,0.8,3,55,70,55,95,110,"Johto",5120,1059860,70,460,"45"
"Aipom","Eipam<U+30A8><U+30A4><U+30D1><U+30E0>",190,"Long Tail Pokémon","II","Johto",0,"Normal","None","Run Away"," Pickup"," Skill Link",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,0.8,11.5,70,55,40,55,85,"Johto",5120,800000,70,360,"45"
"Sunkern","Himanuts<U+30D2><U+30DE><U+30CA><U+30C3><U+30C4>",191,"Seed Pokémon","II","Johto",0,"Grass","None","Chlorophyll"," Solar Power"," Early Bird",NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,30,0.3,1.8,30,30,30,30,30,"Johto",5120,1059860,70,180,"235"
"Sunflora","Kimawari<U+30AD><U+30DE><U+30EF><U+30EA>",192,"Sun Pokémon","II","Johto",0,"Grass","None","Chlorophyll"," Solar Power"," Early Bird",NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,75,0.8,8.5,75,55,105,85,30,"Johto",5120,1059860,70,425,"120"
"Yanma","Yanyanma<U+30E4><U+30F3><U+30E4><U+30F3><U+30DE>",193,"Clear Wing Pokémon","II","Johto",0,"Bug","Flying","Speed Boost"," Compoundeyes"," Frisk",NA,NA,NA,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,65,1.2,38,65,45,75,45,95,"Johto",5120,1000000,70,390,"75"
"Wooper","Upah<U+30A6><U+30D1><U+30FC>",194,"Water Fish Pokémon","II","Johto",0,"Water","Ground","Damp"," Water Absorb"," Unaware",NA,NA,NA,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,55,0.4,8.5,45,45,25,25,15,"Johto",5120,1000000,70,210,"255"
"Quagsire","Nuoh<U+30CC><U+30AA><U+30FC>",195,"Water Fish Pokémon","II","Johto",0,"Water","Ground","Damp"," Water Absorb"," Unaware",NA,NA,NA,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,95,1.4,75,85,85,65,65,35,"Johto",5120,1000000,70,430,"90"
"Espeon","Eifie<U+30A8><U+30FC><U+30D5><U+30A3>",196,"Sun Pokémon","II","Johto",0,"Psychic","None","Synchronize"," Magic Bounce",NA,NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,65,0.9,26.5,65,60,130,95,110,"Johto",8960,1000000,70,525,"45"
"Umbreon","Blacky<U+30D6><U+30E9><U+30C3><U+30AD><U+30FC>",197,"Moonlight Pokémon","II","Johto",0,"Dark","None","Synchronize"," Inner Focus",NA,NA,NA,NA,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,95,1,27,65,110,60,130,65,"Johto",8960,1000000,35,525,"45"
"Murkrow","Yamikarasu<U+30E4><U+30DF><U+30AB><U+30E9><U+30B9>",198,"Darkness Pokémon","II","Johto",0,"Dark","Flying","Insomnia"," Super Luck"," Prankster",NA,NA,NA,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,60,0.5,2.1,85,42,85,42,91,"Johto",5120,1059860,35,405,"30"
"Slowking","Yadoking<U+30E4><U+30C9><U+30AD><U+30F3><U+30B0>",199,"Royal Pokémon","II","Johto",0,"Water","Psychic","Oblivious"," Own Tempo"," Regenerator",NA,NA,NA,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,95,2,79.5,75,80,100,110,30,"Johto",5120,1000000,70,490,"70"
"Misdreavus","Muma<U+30E0><U+30A6><U+30DE>",200,"Screech Pokémon","II","Johto",0,"Ghost","None","Levitate",NA,NA,NA,NA,NA,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,60,0.7,1,60,60,85,85,85,"Johto",6400,800000,35,435,"45"
"Unown","Unknown<U+30A2><U+30F3><U+30CE><U+30FC><U+30F3>",201,"Symbol Pokémon","II","Johto",0,"Psychic","None","Levitate",NA,NA,NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,48,0.5,5,72,48,72,48,48,"Johto",10240,1000000,70,336,"225"
"Wobbuffet","Sonans<U+30BD><U+30FC><U+30CA><U+30F3><U+30B9>",202,"Patient Pokémon","II","Johto",0,"Psychic","None","Shadow Tag"," Telepathy",NA,NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,190,1.3,28.5,33,58,33,58,33,"Johto",5120,1000000,70,405,"45"
"Girafarig","Kirinriki<U+30AD><U+30EA><U+30F3><U+30EA><U+30AD>",203,"Long Neck Pokémon","II","Johto",0,"Normal","Psychic","Inner Focus"," Early Bird"," Sap Sipper",NA,NA,NA,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,70,1.5,41.5,80,65,90,65,85,"Johto",5120,1000000,70,455,"60"
"Pineco","Kunugidama<U+30AF><U+30CC><U+30AE><U+30C0><U+30DE>",204,"Bagworm Pokémon","II","Johto",0,"Bug","None","Sturdy"," Overcoat",NA,NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,0.6,7.2,65,90,35,35,15,"Johto",5120,1000000,70,290,"190"
"Forretress","Foretos<U+30D5><U+30A9><U+30EC><U+30C8><U+30B9>",205,"Bagworm Pokémon","II","Johto",0,"Bug","Steel","Sturdy"," Overcoat",NA,NA,NA,NA,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,75,1.2,125.8,90,140,60,60,40,"Johto",5120,1000000,70,465,"75"
"Dunsparce","Nokocchi<U+30CE><U+30B3><U+30C3><U+30C1>",206,"Land Snake Pokémon","II","Johto",0,"Normal","None","Serene Grace"," Run Away"," Rattled",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,100,1.5,14,70,70,65,65,45,"Johto",5120,1000000,70,415,"190"
"Gligar","Gliger<U+30B0><U+30E9><U+30A4><U+30AC><U+30FC>",207,"Flyscorpion Pokémon","II","Johto",0,"Ground","Flying","Hyper Cutter"," Sand Veil"," Immunity",NA,NA,NA,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,65,1.1,64.8,75,105,35,65,85,"Johto",5120,1059860,70,430,"60"
"Steelix","Haganeil<U+30CF><U+30AC><U+30CD><U+30FC><U+30EB>",208,"Iron Snake Pokémon","II","Johto",0,"Steel","Ground","Rock Head"," Sturdy"," Sheer Force",NA,NA,NA,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,75,9.2,400,125,230,55,95,30,"Johto",6400,1000000,70,610,"25"
"Snubbull","Bulu<U+30D6><U+30EB><U+30FC>",209,"Fairy Pokémon","II","Johto",0,"Fairy","None","Intimidate"," Run Away"," Rattled",NA,NA,NA,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,60,0.6,7.8,80,50,40,40,30,"Johto",5120,800000,70,300,"190"
"Granbull","Granbulu<U+30B0><U+30E9><U+30F3><U+30D6><U+30EB>",210,"Fairy Pokémon","II","Johto",0,"Fairy","None","Intimidate"," Quick Feet"," Rattled",NA,NA,NA,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,90,1.4,48.7,120,75,60,60,45,"Johto",5120,800000,70,450,"75"
"Qwilfish","Harysen<U+30CF><U+30EA><U+30FC><U+30BB><U+30F3>",211,"Balloon Pokémon","II","Johto",0,"Water","Poison","Poison Point"," Swift Swim"," Intimidate",NA,NA,NA,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,65,0.5,3.9,95,85,55,55,85,"Johto",5120,1000000,70,440,"45"
"Scizor","Hassam<U+30CF><U+30C3><U+30B5><U+30E0>",212,"Pincer Pokémon","II","Johto",0,"Bug","Steel","Swarm"," Technician"," Light Metal",NA,NA,NA,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,70,1.8,118,150,140,65,100,75,"Johto",6400,1000000,70,600,"25"
"Shuckle","Tsubotsubo<U+30C4><U+30DC><U+30C4><U+30DC>",213,"Mold Pokémon","II","Johto",0,"Bug","Rock","Sturdy"," Gluttony"," Contrary",NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,20,0.6,20.5,10,230,10,230,5,"Johto",5120,1059860,70,505,"190"
"Heracross","Heracros<U+30D8><U+30E9><U+30AF><U+30ED><U+30B9>",214,"Singlehorn Pokémon","II","Johto",0,"Bug","Fighting","Swarm"," Guts"," Moxie",NA,NA,NA,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,80,1.5,54,185,115,40,105,75,"Johto",6400,1250000,70,600,"45"
"Sneasel","Nyula<U+30CB><U+30E5><U+30FC><U+30E9>",215,"Sharp Claw Pokémon","II","Johto",0,"Dark","Ice","Inner Focus"," Keen Eye"," Pickpocket",NA,NA,NA,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,55,0.9,28,95,55,35,75,115,"Johto",5120,1059860,35,430,"60"
"Teddiursa","Himeguma<U+30D2><U+30E1><U+30B0><U+30DE>",216,"Little Bear Pokémon","II","Johto",0,"Normal","None","Pickup"," Quick Feet"," Honey Gather",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,0.6,8.8,80,50,50,50,40,"Johto",5120,1000000,70,330,"120"
"Ursaring","Ringuma<U+30EA><U+30F3><U+30B0><U+30DE>",217,"Hibernator Pokémon","II","Johto",0,"Normal","None","Guts"," Quick Feet"," Unnerve",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,90,1.8,125.8,130,75,75,75,55,"Johto",5120,1000000,70,500,"60"
"Slugma","Magmag<U+30DE><U+30B0><U+30DE><U+30C3><U+30B0>",218,"Lava Pokémon","II","Johto",0,"Fire","None","Magma Armor"," Flame Body"," Weak Armor",NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,40,0.7,35,40,40,70,40,20,"Johto",5120,1000000,70,250,"190"
"Magcargo","Magcargot<U+30DE><U+30B0><U+30AB><U+30EB><U+30B4>",219,"Lava Pokémon","II","Johto",0,"Fire","Rock","Magma Armor"," Flame Body"," Weak Armor",NA,NA,NA,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,60,0.8,55,50,120,90,80,30,"Johto",5120,1000000,70,430,"75"
"Swinub","Urimoo<U+30A6><U+30EA><U+30E0><U+30FC>",220,"Pig Pokémon","II","Johto",0,"Ice","Ground","Oblivious"," Snow Cloak"," Thick Fat",NA,NA,NA,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,50,0.4,6.5,50,40,30,30,50,"Johto",5120,1250000,70,250,"225"
"Piloswine","Inomoo<U+30A4><U+30CE><U+30E0><U+30FC>",221,"Swine Pokémon","II","Johto",0,"Ice","Ground","Oblivious"," Snow Cloak"," Thick Fat",NA,NA,NA,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,100,1.1,55.8,100,80,60,60,50,"Johto",5120,1250000,70,450,"75"
"Corsola","Sunnygo<U+30B5><U+30CB><U+30FC><U+30B4>",222,"Coral Pokémon","II","Johto",0,"Water","Rock","Hustle"," Natural Cure"," Regenerator",NA,NA,NA,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,65,0.6,5,55,95,65,95,35,"Johto",5120,800000,70,410,"60"
"Remoraid","Teppouo<U+30C6><U+30C3><U+30DD><U+30A6><U+30AA>",223,"Jet Pokémon","II","Johto",0,"Water","None","Hustle"," Sniper"," Moody",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,35,0.6,12,65,35,65,35,65,"Johto",5120,1000000,70,300,"190"
"Octillery","Okutank<U+30AA><U+30AF><U+30BF><U+30F3>",224,"Jet Pokémon","II","Johto",0,"Water","None","Suction Cups"," Sniper"," Moody",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,0.9,28.5,105,75,105,75,45,"Johto",5120,1000000,70,480,"75"
"Delibird","Delibird<U+30C7><U+30EA><U+30D0><U+30FC><U+30C9>",225,"Delivery Pokémon","II","Johto",0,"Ice","Flying","Vital Spirit"," Hustle"," Insomnia",NA,NA,NA,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,45,0.9,16,55,45,65,45,75,"Johto",5120,800000,70,330,"45"
"Mantine","Mantain<U+30DE><U+30F3><U+30BF><U+30A4><U+30F3>",226,"Kite Pokémon","II","Johto",0,"Water","Flying","Swift Swim"," Water Absorb"," Water Veil",NA,NA,NA,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,85,2.1,220,40,70,80,140,70,"Johto",6400,1250000,70,485,"25"
"Skarmory","Airmd<U+30A8><U+30A2><U+30FC><U+30E0><U+30C9>",227,"Armor Bird Pokémon","II","Johto",0,"Steel","Flying","Keen Eye"," Sturdy"," Weak Armor",NA,NA,NA,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,65,1.7,50.5,80,140,40,70,70,"Johto",6400,1250000,70,465,"25"
"Houndour","Delvil<U+30C7><U+30EB><U+30D3><U+30EB>",228,"Dark Pokémon","II","Johto",0,"Dark","Fire","Early Bird"," Flash Fire"," Unnerve",NA,NA,NA,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,45,0.6,10.8,60,30,80,50,65,"Johto",5120,1250000,35,330,"120"
"Houndoom","Hellgar<U+30D8><U+30EB><U+30AC><U+30FC>",229,"Dark Pokémon","II","Johto",0,"Dark","Fire","Early Bird"," Flash Fire"," Unnerve",NA,NA,NA,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,75,1.4,35,90,90,140,90,115,"Johto",5120,1250000,35,600,"45"
"Kingdra","Kingdra<U+30AD><U+30F3><U+30B0><U+30C9><U+30E9>",230,"Dragon Pokémon","II","Johto",0,"Water","Dragon","Swift Swim"," Sniper"," Damp",NA,NA,NA,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,75,1.8,152,95,95,95,95,85,"Johto",5120,1000000,70,540,"45"
"Phanpy","Gomazou<U+30B4><U+30DE><U+30BE><U+30A6>",231,"Long Nose Pokémon","II","Johto",0,"Ground","None","Pickup"," Sand Veil",NA,NA,NA,NA,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,90,0.5,33.5,60,60,40,40,40,"Johto",5120,1000000,70,330,"120"
"Donphan","Donfan<U+30C9><U+30F3><U+30D5><U+30A1><U+30F3>",232,"Armor Pokémon","II","Johto",0,"Ground","None","Sturdy"," Sand Veil",NA,NA,NA,NA,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,90,1.1,120,120,120,60,60,50,"Johto",5120,1000000,70,500,"60"
"Porygon2","Porygon2<U+30DD><U+30EA><U+30B4><U+30F3>2",233,"Virtual Pokémon","II","Johto",0,"Normal","None","Trace"," Download"," Analytic",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,85,0.6,32.5,80,90,105,95,60,"Johto",5120,1000000,70,515,"45"
"Stantler","Odoshishi<U+30AA><U+30C9><U+30B7><U+30B7>",234,"Big Horn Pokémon","II","Johto",0,"Normal","None","Intimidate"," Frisk"," Sap Sipper",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,73,1.4,71.2,95,62,85,65,85,"Johto",5120,1250000,70,465,"45"
"Smeargle","Doble<U+30C9><U+30FC><U+30D6><U+30EB>",235,"Painter Pokémon","II","Johto",0,"Normal","None","Own Tempo"," Technician"," Moody",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,1.2,58,20,35,20,45,75,"Johto",5120,800000,70,250,"45"
"Tyrogue","Balkie<U+30D0><U+30EB><U+30AD><U+30FC>",236,"Scuffle Pokémon","II","Johto",0,"Fighting","None","Guts"," Steadfast"," Vital Spirit",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,35,0.7,21,35,35,35,35,35,"Johto",6400,1000000,70,210,"75"
"Hitmontop","Kapoerer<U+30AB><U+30DD><U+30A8><U+30E9><U+30FC>",237,"Handstand Pokémon","II","Johto",0,"Fighting","None","Intimidate"," Technician"," Steadfast",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,50,1.4,48,95,95,35,110,70,"Johto",6400,1000000,70,455,"45"
"Smoochum","Muchul<U+30E0><U+30C1><U+30E5><U+30FC><U+30EB>",238,"Kiss Pokémon","II","Johto",0,"Ice","Psychic","Oblivious"," Forewarn"," Hydration",NA,NA,NA,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,45,0.4,6,30,15,85,65,65,"Johto",6400,1000000,70,305,"45"
"Elekid","Elekid<U+30A8><U+30EC><U+30AD><U+30C3><U+30C9>",239,"Electric Pokémon","II","Johto",0,"Electric","None","Static"," Vital Spirit",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,45,0.6,23.5,63,37,65,55,95,"Johto",6400,1000000,70,360,"45"
"Magby","Buby<U+30D6><U+30D3><U+30A3>",240,"Live Coal Pokémon","II","Johto",0,"Fire","None","Flame Body"," Vital Spirit",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,0.7,21.4,75,37,70,55,83,"Johto",6400,1000000,70,365,"45"
"Miltank","Miltank<U+30DF><U+30EB><U+30BF><U+30F3><U+30AF>",241,"Milk Cow Pokémon","II","Johto",0,"Normal","None","Thick Fat"," Scrappy"," Sap Sipper",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,95,1.2,75.5,80,105,40,70,100,"Johto",5120,1250000,70,490,"45"
"Blissey","Happinas<U+30CF><U+30D4><U+30CA><U+30B9>",242,"Happiness Pokémon","II","Johto",0,"Normal","None","Natural Cure"," Serene Grace"," Healer",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,1.5,46.8,10,10,75,135,55,"Johto",10240,800000,140,540,"30"
"Raikou","Raikou<U+30E9><U+30A4><U+30B3><U+30A6>",243,"Thunder Pokémon","II","Johto",1,"Electric","None","Pressure"," Inner Focus",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,90,1.9,178,85,75,115,100,115,"Johto",20480,1250000,35,580,"3"
"Entei","Entei<U+30A8><U+30F3><U+30C6><U+30A4>",244,"Volcano Pokémon","II","Johto",1,"Fire","None","Pressure"," Inner Focus",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,115,2.1,198,115,85,90,75,100,"Johto",20480,1250000,35,580,"3"
"Suicune","Suicune<U+30B9><U+30A4><U+30AF><U+30F3>",245,"Aurora Pokémon","II","Johto",1,"Water","None","Pressure"," Inner Focus",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,100,2,187,75,115,90,115,85,"Johto",20480,1250000,35,580,"3"
"Larvitar","Yogiras<U+30E8><U+30FC><U+30AE><U+30E9><U+30B9>",246,"Rock Skin Pokémon","II","Johto",0,"Rock","Ground","Guts"," Sand Veil",NA,NA,NA,NA,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,0.6,72,64,50,45,50,41,"Johto",10240,1250000,35,300,"45"
"Pupitar","Sanagiras<U+30B5><U+30CA><U+30AE><U+30E9><U+30B9>",247,"Hard Shell Pokémon","II","Johto",0,"Rock","Ground","Shed Skin",NA,NA,NA,NA,NA,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,70,1.2,152,84,70,65,70,51,"Johto",10240,1250000,35,410,"45"
"Tyranitar","Bangiras<U+30D0><U+30F3><U+30AE><U+30E9><U+30B9>",248,"Armor Pokémon","II","Johto",0,"Rock","Dark","Sand Stream"," Unnerve",NA,NA,NA,NA,2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,100,2,202,164,150,95,120,71,"Johto",10240,1250000,35,700,"45"
"Lugia","Lugia<U+30EB><U+30AE><U+30A2>",249,"Diving Pokémon","II","Johto",1,"Psychic","Flying","Pressure"," Multiscale",NA,NA,NA,NA,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,106,5.2,216,90,130,90,154,110,"Johto",30720,1250000,0,680,"3"
"Ho-Oh","Houou<U+30DB><U+30A6><U+30AA><U+30A6>",250,"Rainbow Pokémon","II","Johto",1,"Fire","Flying","Pressure"," Regenerator",NA,NA,NA,NA,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,106,3.8,199,130,90,110,154,90,"Johto",30720,1250000,0,680,"3"
"Celebi","Celebi<U+30BB><U+30EC><U+30D3><U+30A3>",251,"Time Travel Pokémon","II","Johto",1,"Psychic","Grass","Natural Cure",NA,NA,NA,NA,NA,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,100,0.6,5,100,100,100,100,100,"Johto",30720,1059860,100,600,"45"
"Treecko","Kimori<U+30AD><U+30E2><U+30EA>",252,"Wood Gecko Pokémon","III","Hoenn",0,"Grass","None","Overgrow"," Unburden",NA,NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,40,0.5,5,45,35,65,55,70,"Hoenn",5120,1059860,70,310,"45"
"Grovyle","Juptile<U+30B8><U+30E5><U+30D7><U+30C8><U+30EB>",253,"Wood Gecko Pokémon","III","Hoenn",0,"Grass","None","Overgrow"," Unburden",NA,NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,0.9,21.6,65,45,85,65,95,"Hoenn",5120,1059860,70,405,"45"
