"","Pokedex_Number","Classfication","Generation","Region","Is_Legendary","Type_1","Type_2","Ability_1","Ability_2","Ability_3","Ability_4","Ability_5","Ability_6","Against_Bug","Against_Dark","Against_Dragon","Against_Electric","Against_Fairy","Against_Fight","Against_Fire","Against_Flying","Against_Ghost","Against_Grass","Against_Ground","Against_Ice","Against_Normal","Against_Poison","Against_Psychic","Against_Rock","Against_Steel","Against_Water","Hp","Height_m","Weight_Kg","Attack","Defense","Sp_Attack","Sp_Defense","Speed","Base_Egg_Steps","Experience_Growth","Base_Happiness","Base_Total","Capture_Rate"
"Gengar",94,"Shadow Pokémon","I","Kanto",0,"Ghost","Poison","Cursed Body",NA,NA,NA,NA,NA,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,60,1.5,40.5,65,80,170,95,130,5120,1059860,70,600,45
"Onix",95,"Rock Snake Pokémon","I","Kanto",0,"Rock","Ground","Rock Head"," Sturdy"," Weak Armor",NA,NA,NA,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,35,8.8,210,45,160,30,45,70,6400,1000000,70,385,45
"Drowzee",96,"Hypnosis Pokémon","I","Kanto",0,"Psychic","None","Insomnia"," Forewarn"," Inner Focus",NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,60,1,32.4,48,45,43,90,42,5120,1000000,70,328,190
"Hypno",97,"Hypnosis Pokémon","I","Kanto",0,"Psychic","None","Insomnia"," Forewarn"," Inner Focus",NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,85,1.6,75.6,73,70,73,115,67,5120,1000000,70,483,75
"Krabby",98,"River Crab Pokémon","I","Kanto",0,"Water","None","Hyper Cutter"," Shell Armor"," Sheer Force",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,30,0.4,6.5,105,90,25,25,50,5120,1000000,70,325,225
"Kingler",99,"Pincer Pokémon","I","Kanto",0,"Water","None","Hyper Cutter"," Shell Armor"," Sheer Force",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,55,1.3,60,130,115,50,50,75,5120,1000000,70,475,60
"Voltorb",100,"Ball Pokémon","I","Kanto",0,"Electric","None","Soundproof"," Static"," Aftermath",NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,0.5,10.4,30,50,55,55,100,5120,1000000,70,330,190
"Electrode",101,"Ball Pokémon","I","Kanto",0,"Electric","None","Soundproof"," Static"," Aftermath",NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,60,1.2,66.6,50,70,80,80,150,5120,1000000,70,490,60
"Exeggcute",102,"Egg Pokémon","I","Kanto",0,"Grass","Psychic","Chlorophyll"," Harvest",NA,NA,NA,NA,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,60,0.4,2.5,40,80,60,45,40,5120,1250000,70,325,90
"Exeggutor",103,"Coconut Pokémon","I","Kanto",0,"Grass","Psychic","Chlorophyll"," Harvest"," Frisk"," Harvest",NA,NA,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,95,2,120,105,85,125,75,45,5120,1250000,70,530,45
"Cubone",104,"Lonely Pokémon","I","Kanto",0,"Ground","None","Rock Head"," Lightningrod"," Battle Armor",NA,NA,NA,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,0.4,6.5,50,95,40,50,35,5120,1000000,70,320,190
"Marowak",105,"Bone Keeper Pokémon","I","Kanto",0,"Ground","Fire","Rock Head"," Lightningrod"," Battle Armor"," Cursed Body"," Lightningrod"," Rock Head",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,60,1,45,80,110,50,80,45,5120,1000000,70,425,75
"Hitmonlee",106,"Kicking Pokémon","I","Kanto",0,"Fighting","None","Limber"," Reckless"," Unburden",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,50,1.5,49.8,120,53,35,110,87,6400,1000000,70,455,45
"Hitmonchan",107,"Punching Pokémon","I","Kanto",0,"Fighting","None","Keen Eye"," Iron Fist"," Inner Focus",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,50,1.4,50.2,105,79,35,110,76,6400,1000000,70,455,45
"Lickitung",108,"Licking Pokémon","I","Kanto",0,"Normal","None","Own Tempo"," Oblivious"," Cloud Nine",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,90,1.2,65.5,55,75,60,75,30,5120,1000000,70,385,45
"Koffing",109,"Poison Gas Pokémon","I","Kanto",0,"Poison","None","Levitate",NA,NA,NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,40,0.6,1,65,95,60,45,35,5120,1000000,70,340,190
"Weezing",110,"Poison Gas Pokémon","I","Kanto",0,"Poison","None","Levitate",NA,NA,NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,65,1.2,9.5,90,120,85,70,60,5120,1000000,70,490,60
"Rhyhorn",111,"Spikes Pokémon","I","Kanto",0,"Ground","Rock","Lightningrod"," Rock Head"," Reckless",NA,NA,NA,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,80,1,115,85,95,30,30,25,5120,1250000,70,345,120
"Rhydon",112,"Drill Pokémon","I","Kanto",0,"Ground","Rock","Lightningrod"," Rock Head"," Reckless",NA,NA,NA,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,105,1.9,120,130,120,45,45,40,5120,1250000,70,485,60
"Chansey",113,"Egg Pokémon","I","Kanto",0,"Normal","None","Natural Cure"," Serene Grace"," Healer",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,250,1.1,34.6,5,5,35,105,50,10240,800000,140,450,30
"Tangela",114,"Vine Pokémon","I","Kanto",0,"Grass","None","Chlorophyll"," Leaf Guard"," Regenerator",NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,65,1,35,55,115,100,40,60,5120,1000000,70,435,45
"Kangaskhan",115,"Parent Pokémon","I","Kanto",0,"Normal","None","Early Bird"," Scrappy"," Inner Focus",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,105,2.2,80,125,100,60,100,100,5120,1000000,70,590,45
"Horsea",116,"Dragon Pokémon","I","Kanto",0,"Water","None","Swift Swim"," Sniper"," Damp",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,30,0.4,8,40,70,70,25,60,5120,1000000,70,295,225
"Seadra",117,"Dragon Pokémon","I","Kanto",0,"Water","None","Poison Point"," Sniper"," Damp",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,55,1.2,25,65,95,95,45,85,5120,1000000,70,440,75
"Goldeen",118,"Goldfish Pokémon","I","Kanto",0,"Water","None","Swift Swim"," Water Veil"," Lightningrod",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,0.6,15,67,60,35,50,63,5120,1000000,70,320,225
"Seaking",119,"Goldfish Pokémon","I","Kanto",0,"Water","None","Swift Swim"," Water Veil"," Lightningrod",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,80,1.3,39,92,65,65,80,68,5120,1000000,70,450,60
"Staryu",120,"Starshape Pokémon","I","Kanto",0,"Water","None","Illuminate"," Natural Cure"," Analytic",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,30,0.8,34.5,45,55,70,55,85,5120,1250000,70,340,225
"Starmie",121,"Mysterious Pokémon","I","Kanto",0,"Water","Psychic","Illuminate"," Natural Cure"," Analytic",NA,NA,NA,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,60,1.1,80,75,85,100,85,115,5120,1250000,70,520,60
"Mr. Mime",122,"Barrier Pokémon","I","Kanto",0,"Psychic","Fairy","Soundproof"," Filter"," Technician",NA,NA,NA,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,40,1.3,54.5,45,65,100,120,90,6400,1000000,70,460,45
"Scyther",123,"Mantis Pokémon","I","Kanto",0,"Bug","Flying","Swarm"," Technician"," Steadfast",NA,NA,NA,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,70,1.5,56,110,80,55,80,105,6400,1000000,70,500,45
"Jynx",124,"Humanshape Pokémon","I","Kanto",0,"Ice","Psychic","Oblivious"," Forewarn"," Dry Skin",NA,NA,NA,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,65,1.4,40.6,50,35,115,95,95,6400,1000000,70,455,45
"Electabuzz",125,"Electric Pokémon","I","Kanto",0,"Electric","None","Static"," Vital Spirit",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,65,1.1,30,83,57,95,85,105,6400,1000000,70,490,45
"Magmar",126,"Spitfire Pokémon","I","Kanto",0,"Fire","None","Flame Body"," Vital Spirit",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,65,1.3,44.5,95,57,100,85,93,6400,1000000,70,495,45
"Pinsir",127,"Stagbeetle Pokémon","I","Kanto",0,"Bug","None","Hyper Cutter"," Mold Breaker"," Moxie",NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,65,1.5,55,155,120,65,90,105,6400,1250000,70,600,45
"Tauros",128,"Wild Bull Pokémon","I","Kanto",0,"Normal","None","Intimidate"," Anger Point"," Sheer Force",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,75,1.4,88.4,100,95,40,70,110,5120,1250000,70,490,45
"Magikarp",129,"Fish Pokémon","I","Kanto",0,"Water","None","Swift Swim"," Rattled",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,20,0.9,10,10,55,15,20,80,1280,1250000,70,200,255
"Gyarados",130,"Atrocious Pokémon","I","Kanto",0,"Water","Flying","Intimidate"," Moxie",NA,NA,NA,NA,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,95,6.5,235,155,109,70,130,81,1280,1250000,70,640,45
"Lapras",131,"Transport Pokémon","I","Kanto",0,"Water","Ice","Water Absorb"," Shell Armor"," Hydration",NA,NA,NA,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,130,2.5,220,85,80,85,95,60,10240,1250000,70,535,45
"Ditto",132,"Transform Pokémon","I","Kanto",0,"Normal","None","Limber"," Imposter",NA,NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,48,0.3,4,48,48,48,48,48,5120,1000000,70,288,35
"Eevee",133,"Evolution Pokémon","I","Kanto",0,"Normal","None","Run Away"," Adaptability"," Anticipation",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,0.3,6.5,55,50,45,65,55,8960,1000000,70,325,45
"Vaporeon",134,"Bubble Jet Pokémon","I","Kanto",0,"Water","None","Water Absorb"," Hydration",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,130,1,29,65,60,110,95,65,8960,1000000,70,525,45
"Jolteon",135,"Lightning Pokémon","I","Kanto",0,"Electric","None","Volt Absorb"," Quick Feet",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,65,0.8,24.5,65,60,110,95,130,8960,1000000,70,525,45
"Flareon",136,"Flame Pokémon","I","Kanto",0,"Fire","None","Flash Fire"," Guts",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,65,0.9,25,130,60,95,110,65,8960,1000000,70,525,45
"Porygon",137,"Virtual Pokémon","I","Kanto",0,"Normal","None","Trace"," Download"," Analytic",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,65,0.8,36.5,60,70,85,75,40,5120,1000000,70,395,45
"Omanyte",138,"Spiral Pokémon","I","Kanto",0,"Rock","Water","Swift Swim"," Shell Armor"," Weak Armor",NA,NA,NA,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,35,0.4,7.5,40,100,90,55,35,7680,1000000,70,355,45
"Omastar",139,"Spiral Pokémon","I","Kanto",0,"Rock","Water","Swift Swim"," Shell Armor"," Weak Armor",NA,NA,NA,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,70,1,35,60,125,115,70,55,7680,1000000,70,495,45
"Kabuto",140,"Shellfish Pokémon","I","Kanto",0,"Rock","Water","Swift Swim"," Battle Armor"," Weak Armor",NA,NA,NA,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,30,0.5,11.5,80,90,55,45,55,7680,1000000,70,355,45
"Kabutops",141,"Shellfish Pokémon","I","Kanto",0,"Rock","Water","Swift Swim"," Battle Armor"," Weak Armor",NA,NA,NA,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,60,1.3,40.5,115,105,65,70,80,7680,1000000,70,495,45
"Aerodactyl",142,"Fossil Pokémon","I","Kanto",0,"Rock","Flying","Rock Head"," Pressure"," Unnerve",NA,NA,NA,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,80,1.8,59,135,85,70,95,150,8960,1250000,70,615,45
"Snorlax",143,"Sleeping Pokémon","I","Kanto",0,"Normal","None","Immunity"," Thick Fat"," Gluttony",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,160,2.1,460,110,65,65,110,30,10240,1250000,70,540,25
"Articuno",144,"Freeze Pokémon","I","Kanto",1,"Ice","Flying","Pressure"," Snow Cloak",NA,NA,NA,NA,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,90,1.7,55.4,85,100,95,125,85,20480,1250000,35,580,3
"Zapdos",145,"Electric Pokémon","I","Kanto",1,"Electric","Flying","Pressure"," Static",NA,NA,NA,NA,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,90,1.6,52.6,90,85,125,90,100,20480,1250000,35,580,3
"Moltres",146,"Flame Pokémon","I","Kanto",1,"Fire","Flying","Pressure"," Flame Body",NA,NA,NA,NA,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,90,2,60,100,90,125,85,90,20480,1250000,35,580,3
"Dratini",147,"Dragon Pokémon","I","Kanto",0,"Dragon","None","Shed Skin"," Marvel Scale",NA,NA,NA,NA,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,41,1.8,3.3,64,45,50,50,50,10240,1250000,35,300,45
"Dragonair",148,"Dragon Pokémon","I","Kanto",0,"Dragon","None","Shed Skin"," Marvel Scale",NA,NA,NA,NA,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,61,4,16.5,84,65,70,70,70,10240,1250000,35,420,45
"Dragonite",149,"Dragon Pokémon","I","Kanto",0,"Dragon","Flying","Inner Focus"," Multiscale",NA,NA,NA,NA,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,91,2.2,210,134,95,100,100,80,10240,1250000,35,600,45
"Mewtwo",150,"Genetic Pokémon","I","Kanto",1,"Psychic","None","Pressure"," Unnerve",NA,NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,106,2,122,150,70,194,120,140,30720,1250000,0,780,3
"Mew",151,"New Species Pokémon","I","Kanto",1,"Psychic","None","Synchronize",NA,NA,NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,100,0.4,4,100,100,100,100,100,30720,1059860,100,600,45
"Chikorita",152,"Leaf Pokémon","II","Johto",0,"Grass","None","Overgrow"," Leaf Guard",NA,NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,0.9,6.4,49,65,49,65,45,5120,1059860,70,318,45
"Bayleef",153,"Leaf Pokémon","II","Johto",0,"Grass","None","Overgrow"," Leaf Guard",NA,NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,60,1.2,15.8,62,80,63,80,60,5120,1059860,70,405,45
"Meganium",154,"Herb Pokémon","II","Johto",0,"Grass","None","Overgrow"," Leaf Guard",NA,NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,80,1.8,100.5,82,100,83,100,80,5120,1059860,70,525,45
"Cyndaquil",155,"Fire Mouse Pokémon","II","Johto",0,"Fire","None","Blaze"," Flash Fire",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,39,0.5,7.9,52,43,60,50,65,5120,1059860,70,309,45
"Quilava",156,"Volcano Pokémon","II","Johto",0,"Fire","None","Blaze"," Flash Fire",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,58,0.9,19,64,58,80,65,80,5120,1059860,70,405,45
"Typhlosion",157,"Volcano Pokémon","II","Johto",0,"Fire","None","Blaze"," Flash Fire",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,78,1.7,79.5,84,78,109,85,100,5120,1059860,70,534,45
"Totodile",158,"Big Jaw Pokémon","II","Johto",0,"Water","None","Torrent"," Sheer Force",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,0.6,9.5,65,64,44,48,43,5120,1059860,70,314,45
"Croconaw",159,"Big Jaw Pokémon","II","Johto",0,"Water","None","Torrent"," Sheer Force",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,1.1,25,80,80,59,63,58,5120,1059860,70,405,45
"Feraligatr",160,"Big Jaw Pokémon","II","Johto",0,"Water","None","Torrent"," Sheer Force",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,85,2.3,88.8,105,100,79,83,78,5120,1059860,70,530,45
"Sentret",161,"Scout Pokémon","II","Johto",0,"Normal","None","Run Away"," Keen Eye"," Frisk",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,0.8,6,46,34,35,45,20,3840,1000000,70,215,255
"Furret",162,"Long Body Pokémon","II","Johto",0,"Normal","None","Run Away"," Keen Eye"," Frisk",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,85,1.8,32.5,76,64,45,55,90,3840,1000000,70,415,90
"Hoothoot",163,"Owl Pokémon","II","Johto",0,"Normal","Flying","Insomnia"," Keen Eye"," Tinted Lens",NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,0.7,21.2,30,30,36,56,50,3840,1000000,70,262,255
"Noctowl",164,"Owl Pokémon","II","Johto",0,"Normal","Flying","Insomnia"," Keen Eye"," Tinted Lens",NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,100,1.6,40.8,50,50,86,96,70,3840,1000000,70,452,90
"Ledyba",165,"Five Star Pokémon","II","Johto",0,"Bug","Flying","Swarm"," Early Bird"," Rattled",NA,NA,NA,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,40,1,10.8,20,30,40,80,55,3840,800000,70,265,255
"Ledian",166,"Five Star Pokémon","II","Johto",0,"Bug","Flying","Swarm"," Early Bird"," Iron Fist",NA,NA,NA,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,55,1.4,35.6,35,50,55,110,85,3840,800000,70,390,90
"Spinarak",167,"String Spit Pokémon","II","Johto",0,"Bug","Poison","Swarm"," Insomnia"," Sniper",NA,NA,NA,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,40,0.5,8.5,60,40,40,40,30,3840,800000,70,250,255
"Ariados",168,"Long Leg Pokémon","II","Johto",0,"Bug","Poison","Swarm"," Insomnia"," Sniper",NA,NA,NA,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,70,1.1,33.5,90,70,60,70,40,3840,800000,70,400,90
"Crobat",169,"Bat Pokémon","II","Johto",0,"Poison","Flying","Inner Focus"," Infiltrator",NA,NA,NA,NA,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,85,1.8,75,90,80,70,80,130,3840,1000000,70,535,90
"Chinchou",170,"Angler Pokémon","II","Johto",0,"Water","Electric","Volt Absorb"," Illuminate"," Water Absorb",NA,NA,NA,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,75,0.5,12,38,38,56,56,67,5120,1250000,70,330,190
"Lanturn",171,"Light Pokémon","II","Johto",0,"Water","Electric","Volt Absorb"," Illuminate"," Water Absorb",NA,NA,NA,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,125,1.2,22.5,58,58,76,76,67,5120,1250000,70,460,75
"Pichu",172,"Tiny Mouse Pokémon","II","Johto",0,"Electric","None","Static"," Lightningrod",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,20,0.3,2,40,15,35,35,60,2560,1000000,70,205,190
"Cleffa",173,"Star Shape Pokémon","II","Johto",0,"Fairy","None","Cute Charm"," Magic Guard"," Friend Guard",NA,NA,NA,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,50,0.3,3,25,28,45,55,15,2560,800000,140,218,150
"Igglybuff",174,"Balloon Pokémon","II","Johto",0,"Normal","Fairy","Cute Charm"," Competitive"," Friend Guard",NA,NA,NA,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,90,0.3,1,30,15,40,20,15,2560,800000,70,210,170
"Togepi",175,"Spike Ball Pokémon","II","Johto",0,"Fairy","None","Hustle"," Serene Grace"," Super Luck",NA,NA,NA,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,35,0.3,1.5,20,65,40,65,20,2560,800000,70,245,190
"Togetic",176,"Happiness Pokémon","II","Johto",0,"Fairy","Flying","Hustle"," Serene Grace"," Super Luck",NA,NA,NA,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,55,0.6,3.2,40,85,80,105,40,2560,800000,70,405,75
"Natu",177,"Little Bird Pokémon","II","Johto",0,"Psychic","Flying","Synchronize"," Early Bird"," Magic Bounce",NA,NA,NA,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,40,0.2,2,50,45,70,45,70,5120,1000000,70,320,190
"Xatu",178,"Mystic Pokémon","II","Johto",0,"Psychic","Flying","Synchronize"," Early Bird"," Magic Bounce",NA,NA,NA,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,65,1.5,15,75,70,95,70,95,5120,1000000,70,470,75
"Mareep",179,"Wool Pokémon","II","Johto",0,"Electric","None","Static"," Plus",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,0.6,7.8,40,40,65,45,35,5120,1059860,70,280,235
"Flaaffy",180,"Wool Pokémon","II","Johto",0,"Electric","None","Static"," Plus",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,70,0.8,13.3,55,55,80,60,45,5120,1059860,70,365,120
"Ampharos",181,"Light Pokémon","II","Johto",0,"Electric","None","Static"," Plus",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,90,1.4,61.5,95,105,165,110,45,5120,1059860,70,610,45
"Bellossom",182,"Flower Pokémon","II","Johto",0,"Grass","None","Chlorophyll"," Healer",NA,NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,75,0.4,5.8,80,95,90,100,50,5120,1059860,70,490,45
"Marill",183,"Aquamouse Pokémon","II","Johto",0,"Water","Fairy","Thick Fat"," Huge Power"," Sap Sipper",NA,NA,NA,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,70,0.4,8.5,20,50,20,50,40,2560,800000,70,250,190
"Azumarill",184,"Aquarabbit Pokémon","II","Johto",0,"Water","Fairy","Thick Fat"," Huge Power"," Sap Sipper",NA,NA,NA,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,100,0.8,28.5,50,80,60,80,50,2560,800000,70,420,75
"Sudowoodo",185,"Imitation Pokémon","II","Johto",0,"Rock","None","Sturdy"," Rock Head"," Rattled",NA,NA,NA,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,70,1.2,38,100,115,30,65,30,5120,1000000,70,410,65
"Politoed",186,"Frog Pokémon","II","Johto",0,"Water","None","Water Absorb"," Damp"," Drizzle",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,90,1.1,33.9,75,75,90,100,70,5120,1059860,70,500,45
"Hoppip",187,"Cottonweed Pokémon","II","Johto",0,"Grass","Flying","Chlorophyll"," Leaf Guard"," Infiltrator",NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,35,0.4,0.5,35,40,35,55,50,5120,1059860,70,250,255
"Skiploom",188,"Cottonweed Pokémon","II","Johto",0,"Grass","Flying","Chlorophyll"," Leaf Guard"," Infiltrator",NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,55,0.6,1,45,50,45,65,80,5120,1059860,70,340,120
"Jumpluff",189,"Cottonweed Pokémon","II","Johto",0,"Grass","Flying","Chlorophyll"," Leaf Guard"," Infiltrator",NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,75,0.8,3,55,70,55,95,110,5120,1059860,70,460,45
"Aipom",190,"Long Tail Pokémon","II","Johto",0,"Normal","None","Run Away"," Pickup"," Skill Link",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,0.8,11.5,70,55,40,55,85,5120,800000,70,360,45
"Sunkern",191,"Seed Pokémon","II","Johto",0,"Grass","None","Chlorophyll"," Solar Power"," Early Bird",NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,30,0.3,1.8,30,30,30,30,30,5120,1059860,70,180,235
